funders,count
Royal Society,165
National Academy of Sciences,122
National Academy of Sciences,,59
Princeton University,24
National Science Foundation,23
United Nations,21
University of Chicago,16
University of California,11
Orange,10
National Academy of Sciences.,10
European Research Council,10
Harvard University,7
European Commission,7
Sears,7
Natural Environment Research Council,7
World Health Organization.,7
United Nations.,7
Royal Society,,6
Ministry of Education,6
National Natural Science Foundation of China,6
Staples,6
Environmental Protection Agency,5
Cornell University,5
Research and Development,5
University of California,,5
Indiana University,5
Columbia University.,5
Ministry of Natural Resources,5
Australian Research Council,4
World Health Organization,4
Philips,4
American Statistical Association,,4
Yale University,4
Shell,4
Department of Health,4
Marine Biological Association,4
Natural History Museum,3
U.S. Geological Survey,,3
Ministry of Economy,3
Royal Society;,3
National Geographic Society,3
National Oceanic and Atmospheric Administration,3
Entomological Society of America,,3
University of Hull,3
Deutsche Forschungsgemeinschaft,3
Thermo Scientific,,3
Department of Natural Resources,3
University of Connecticut,,3
Microsoft,3
Oregon State University,,3
University of Minnesota,,3
Met Office,3
Joint Research Centre,3
Johns Hopkins University,3
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,3
Ministry of Education,,3
American Meteorological Society,3
Roche,3
Conservation International,,3
National Science Foundation,,3
Agence Nationale de la Recherche,2
American Meteorological Society,,2
Tyson,2
European Space Agency.,2
Office of Science,,2
University of Toronto,2
University of Minnesota,2
University of East Anglia,2
American Society for Microbiology,2
Environment Canada,,2
Centers for Disease Control and Prevention,2
Leverhulme Trust,2
American Museum of Natural History,,2
Department of Health.,2
Department of Health,,2
Arizona State University.,2
Japan Society for the Promotion of Science,2
Rural Development Administration,2
University of British Columbia,2
Conselho Nacional de Desenvolvimento Científico e Tecnológico,2
Entomological Society of America.,2
Biological and Environmental Research,2
Office for Coastal Management.,2
Labex,2
Wildlife Conservation Society,2
Mars,2
EMBO,2
SAS Institute,2
Natural Sciences and Engineering Research Council of Canada,2
Chinese Academy of Sciences,2
World Health Organization,,2
World Health Organization;,2
Ministry of Health,2
Environmental Systems Research Institute.,2
American Statistical Association,2
Siemens,2
Oak Ridge National Laboratory,2
Wildlife Conservation Society,,2
U.S. Geological Survey,2
University of Missouri,2
National Institute of Food and Agriculture,2
Smithsonian Institution,2
United Nations,,2
Research and Development.,2
University of Arkansas,2
Oak Ridge National Laboratory,,2
Simon Fraser University,2
University of Florida,2
University of British Columbia,,2
Facebook,2
Natural History Museum,,2
Natural Resources Conservation Service,,2
Flinders University,2
Harvard University,,2
