disease,count
malaria,66
infectious disease,32
chikungunya,24
suppression,20
encephalitis,19
influenza,17
stroke,17
dengue fever,16
gastroenteritis,16
diarrhea,16
asthma,15
heart disease,12
yellow fever,,11
cancer,11
leptospirosis,10
schistosomiasis,9
yellow fever,9
obesity,8
cryptosporidiosis,8
mouth disease,7
cardiovascular disease,7
epilepsy,7
respiratory disease,7
tuberculosis,6
allergy,6
pneumonia,6
measles,6
avian influenza,5
giardiasis,5
cardiovascular disease,,4
dengue fever,,4
post-traumatic stress disorder,4
hepatitis,4
hand, foot and mouth disease,4
viral disease,4
aids,4
leishmaniasis,4
arthritis,4
listeriosis,4
campylobacteriosis,4
meningitis,4
heart disease,,4
lung cancer,,4
skin cancer,3
filariasis,3
plague,3
typhus,3
lyme disease,3
hemorrhagic fever with renal syndrome,3
hand, foot, and mouth disease,3
respiratory disease,,3
scrub typhus,3
tick-borne encephalitis,3
skin cancer,,3
microcephaly,3
mastitis,3
rabies,3
chronic obstructive pulmonary disease,3
cysticercosis,2
brucellosis,2
scarlet fever,2
relapsing fever,2
anthrax,2
anemia,2
typhoid fever,,2
infectious disease.,2
diabetes mellitus,2
rhinitis,2
cardiac arrest,2
infectious disease,,2
cystic fibrosis,2
paratyphoid fever,2
heart disease.,2
rash,2
cerebral palsy,2
polycythemia,1
lung disease,1
encephalopathy,1
lung cancer,1
tetanus,1
atherosclerosis,1
congestive heart failure.,1
myelofibrosis,1
chronic kidney disease,,1
smallpox,1
cardiovascular disease.,1
miliaria,1
autoimmune disease,1
optic atrophy,1
spotted fever,1
chronic kidney disease,1
bacterial disease,1
hand, foot and mouth disease,,1
allergic rhinitis,,1
multiple sclerosis,1
melioidosis,1
viral pneumonia,1
status epilepticus,1
major depressive disorder,1
chickenpox,1
rheumatoid arthritis,,1
scrub typhus,,1
cerebral palsy,,1
visceral leishmaniasis,1
typhoid fever,1
clonorchiasis,1
cystic fibrosis.,1
gastrointestinal disease,1
nephropathia epidemica,1
heart attack,,1
congestive heart failure,1
respiratory disease.,1
fasciolosis,1
mouth disease,,1
allergic rhinitis,1
mumps,1
ascariasis,1
hypersensitivity,1
heart attack,1
gastrointestinal disease.,1
dengue fever.,1
hyperglycemia,1
chronic obstructive pulmonary disease,,1
glucose intolerance,1
louse-borne relapsing fever,1
cutaneous leishmaniasis,1
cercarial dermatitis,,1
chronic obstructive pulmonary disease.,1
lung cancer.,1
dengue hemorrhagic fever,1
acrodermatitis,1
diabetes insipidus,,1
aspergillosis,1
shortness,1
parasitic disease,1
acute myocardial infarction,1
